"","Date","Mean Strain"
"1","2008-11-15 00",0.207246649904268
"2","2008-11-15 01",0.0617081976291279
"3","2008-11-15 02",-0.0270106642691939
"4","2008-11-15 03",0.0603925646467783
"5","2008-11-15 04",0.322776726488498
"6","2008-11-15 05",0.523283716573168
"7","2008-11-15 06",0.77738793778204
"8","2008-11-15 07",1.07426163587431
"9","2008-11-15 08",1.4366292558914
"10","2008-11-15 09",1.18216718164625
"11","2008-11-15 10",0.980313704750876
"12","2008-11-15 11",0.781658025960452
"13","2008-11-15 12",0.793823836786027
"14","2008-11-15 13",0.721373064625754
"15","2008-11-15 14",0.821592157233947
"16","2008-11-15 15",0.809689088593327
"17","2008-11-15 16",0.788560083819016
"18","2008-11-15 17",0.697036464186204
"19","2008-11-15 18",0.995823139909355
"20","2008-11-15 19",0.143262899398302
"21","2008-11-15 20",-0.0175030611008248
"22","2008-11-15 21",-0.13359243413552
"23","2008-11-15 22",-0.110751384747287
"24","2008-11-15 23",0.0120983772414571
"25","2008-11-16 00",0.0701620685247748
"26","2008-11-16 01",-0.194757716913629
"27","2008-11-16 02",-0.419023784862463
"28","2008-11-16 03",-0.417181148874344
"29","2008-11-16 04",-0.462942932937468
"30","2008-11-16 05",-0.582595279346295
"31","2008-11-16 06",-0.865868339462798
"32","2008-11-16 07",-1.02250390687437
"33","2008-11-16 08",-1.21499041545948
"34","2008-11-16 09",-1.25661837826899
"35","2008-11-16 10",-1.33843643109891
"36","2008-11-16 11",-1.29634116002829
"37","2008-11-16 12",-0.942511694255801
"38","2008-11-16 13",0.046683366203966
"39","2008-11-16 14",0.72271337549295
"40","2008-11-16 15",1.29074470399367
"41","2008-11-16 16",1.24599329257272
"42","2008-11-16 17",1.13789724398984
"43","2008-11-16 18",0.78309857106936
"44","2008-11-16 19",0.352074039296005
"45","2008-11-16 20",0.00981492996481351
"46","2008-11-16 21",-0.371398190839695
"47","2008-11-16 22",-0.71055390371788
"48","2008-11-16 23",-1.1155911588964
"49","2008-11-17 00",-1.36809070183096
"50","2008-11-17 01",-1.61884847494241
"51","2008-11-17 02",-1.813191754726
"52","2008-11-17 03",-1.80791349547849
"53","2008-11-17 04",-1.96970916486182
"54","2008-11-17 05",-1.81734394557746
"55","2008-11-17 06",-1.10974016648861
"56","2008-11-17 07",-1.45477409332509
"57","2008-11-17 08",-0.920095503079618
"58","2008-11-17 09",0.834533430512958
"59","2008-11-17 10",4.45121632469883
"60","2008-11-17 11",10.0734091630327
"61","2008-11-17 12",14.1914677727734
"62","2008-11-17 13",15.3777297961595
"63","2008-11-17 14",14.6777152781149
"64","2008-11-17 15",13.202228236768
"65","2008-11-17 16",12.3563196040864
"66","2008-11-17 17",10.7709268011668
"67","2008-11-17 18",8.71410029923067
"68","2008-11-17 19",7.59744105765474
"69","2008-11-17 20",6.35268251252022
"70","2008-11-17 21",5.50580084027081
