"","Date","Median Strain"
"1","2008-11-15 00",0.163441
"2","2008-11-15 01",0.027439
"3","2008-11-15 02",-0.055345
"4","2008-11-15 03",0.042222
"5","2008-11-15 04",0.299444
"6","2008-11-15 05",0.479796
"7","2008-11-15 06",0.722235
"8","2008-11-15 07",1.000154
"9","2008-11-15 08",1.230768
"10","2008-11-15 09",1.121374
"11","2008-11-15 10",0.929196
"12","2008-11-15 11",0.719279
"13","2008-11-15 12",0.734062
"14","2008-11-15 13",0.669017
"15","2008-11-15 14",0.763628
"16","2008-11-15 15",0.784324
"17","2008-11-15 16",0.754758
"18","2008-11-15 17",0.651277
"19","2008-11-15 18",0.970588
"20","2008-11-15 19",0.11318
"21","2008-11-15 20",-0.043519
"22","2008-11-15 21",-0.149956
"23","2008-11-15 22",-0.132217
"24","2008-11-15 23",-0.013953
"25","2008-11-16 00",0.048135
"26","2008-11-16 01",-0.215001
"27","2008-11-16 02",-0.433787
"28","2008-11-16 03",-0.427874
"29","2008-11-16 04",-0.484049
"30","2008-11-16 05",-0.590486
"31","2008-11-16 06",-0.871361
"32","2008-11-16 07",-1.042842
"33","2008-11-16 08",-1.237976
"34","2008-11-16 09",-1.283803
"35","2008-11-16 10",-1.376935
"36","2008-11-16 11",-1.32963
"37","2008-11-16 12",-0.968928
"38","2008-11-16 13",0.018569
"39","2008-11-16 14",0.704496
"40","2008-11-16 15",1.27216
"41","2008-11-16 16",1.224855
"42","2008-11-16 17",1.112504
"43","2008-11-16 18",0.737018
"44","2008-11-16 19",0.334923
"45","2008-11-16 20",-0.019867
"46","2008-11-16 21",-0.401265
"47","2008-11-16 22",-0.761967
"48","2008-11-16 23",-1.155192
"49","2008-11-17 00",-1.403544
"50","2008-11-17 01",-1.663722
"51","2008-11-17 02",-1.826334
"52","2008-11-17 03",-1.817464
"53","2008-11-17 04",-2.000772
"54","2008-11-17 05",-1.95938
"55","2008-11-17 06",-1.509981
"56","2008-11-17 07",-1.669636
"57","2008-11-17 08",-1.214323
"58","2008-11-17 09",0.302401
"59","2008-11-17 10",4.302669
"60","2008-11-17 11",9.982326
"61","2008-11-17 12",13.953093
"62","2008-11-17 13",14.94357
"63","2008-11-17 14",14.284237
"64","2008-11-17 15",13.193233
"65","2008-11-17 16",12.172601
"66","2008-11-17 17",10.633967
"67","2008-11-17 18",8.914984
"68","2008-11-17 19",7.4875275
"69","2008-11-17 20",6.248115
"70","2008-11-17 21",5.457518
"71","2008-11-17 22",4.514953
"72","2008-11-17 23",3.571206
"73","2008-11-18 00",2.834422
"74","2008-11-18 01",2.356637
"75","2008-11-18 02",1.89127
"76","2008-11-18 03",1.715057
"77","2008-11-18 04",1.56841
"78","2008-11-18 05",1.572549
"79","2008-11-18 06",1.88713
"80","2008-11-18 07",2.064526
"81","2008-11-18 08",2.039099
"82","2008-11-18 09",2.026681
"83","2008-11-18 10",1.358492
"84","2008-11-18 11",2.402168
"85","2008-11-18 12",1.164541
"86","2008-11-18 13",1.375049
"87","2008-11-18 14",1.890678
"88","2008-11-18 15",2.8577795
"89","2008-11-18 16",3.208727
"90","2008-11-18 17",3.23238
"91","2008-11-18 18",2.739811
"92","2008-11-18 19",2.372602
"93","2008-11-18 20",2.234234
"94","2008-11-18 21",2.400986
"95","2008-11-18 22",2.744542
"96","2008-11-18 23",2.687775
"97","2008-11-19 00",2.679497
"98","2008-11-19 01",2.916615
"99","2008-11-19 02",3.176796
